name,category,cost,platform,genre_focus,submission_method,contact,requirements,reach,why,sources,confidence,last_verified
Data Transmission,blog,free,web,house; tech house; deep tech; techno,email,grahame@datatransmission.co,Private SoundCloud link preferred | Include press release and artist bio | House / Tech House / Deep Tech / Techno only for this contact,100k+ monthly site visitors; large SoundCloud following,"One of the UK's leading online dance music authorities with a dedicated premieres section for house and tech house. Grahame Farmer personally curates house/tech-house premieres, giving unknown acts a real editorial slot with SoundCloud upload and site coverage.",https://datatransmission.co/contact/; https://www.beatportal.com/articles/655232-interview-grahame-farmer-founder-data-transmission,high,2026-06-01
Magnetic Magazine,magazine,free,web,house; tech house; techno; deep house,email,will@magneticmag.com,Press release | High-res press photos | Private streaming link | Artist bio and social links,500k+ monthly unique visitors,US-based music and culture magazine with dedicated tech-house track roundups published monthly in 2025. Features premieres and reviews; actively accepts submissions from independent artists and labels. Monthly 'Best Tech House Tracks' columns give rising artists real visibility.,https://magneticmag.com/contact/; https://magneticmag.com/2025/05/the-15-best-tech-house-tracks-of-april-2025/,high,2026-06-01
DJ Mag,magazine,free,web,house; tech house; techno; electronic,email,olivia.stock@djmag.com,Press release | High-res artist photo and packshot | Artist bio and social links | Private SoundCloud link with downloads enabled (320kbps) or fatdrop link — no Dropbox/WeTransfer | Pre-order or buy link if applicable | Suggested run date | Pitch window: no earlier than 3 weeks before release; no later than 2 days before,3M+ monthly site visitors; global print and digital readership,"The world's most widely read DJ and dance music magazine. Premieres one track per day online, featuring lesser-known acts alongside established names. A premiere slot here signals credibility to bookers and labels globally.",https://djmag.com/information/how-pitch-dj-mag; https://djmag.com/press,high,2026-06-01
Mixmag Australia / NZ,magazine,free,web,house; tech house; techno; electronic,email,editorial@mixmag.net.au,Brief pitch explaining desired coverage type (premiere / review / playlist / mix) | Private streaming link | Press release and bio,Mixmag global brand; ANZ SoundCloud premiere playlists active 2025,"Active offshoot of the world's biggest dance music brand, explicitly calling for music submissions from any artist — known or unknown — for premieres, playlists, mixes, and reviews. Lower bar than UK flagship but carries global Mixmag brand weight and publishes monthly SoundCloud premiere playlists.",https://mixmag.net.au/page/contact-mixmag; https://mixmag.net.au/read/mixmag-australia-nz-is-calling-out-for-music-music,high,2026-06-01
Mixmag (UK / Global),magazine,free,web,house; tech house; techno; electronic,email,https://mixmag.net/page/contact-mixmag,Press release | High-res photos | Private streaming link | Artist bio and socials | Pitch 1 to 3 weeks before release,5M+ monthly unique visitors; 1.4M+ Instagram followers,The flagship global dance music magazine reaching 5M+ monthly visitors. Being premiered or reviewed on Mixmag.net is among the most valuable press placements for any house/tech-house artist. Active in 2025 with weekly new music coverage.,https://mixmag.net/page/contact-mixmag; https://muckrack.com/media-outlet/mixmag,medium,2026-06-01
When We Dip,blog,free,web,house; deep house; progressive house; melodic techno,email,promo@whenwedip.com,SoundCloud track link preferred | Press release or brief pitch | Desired premiere date,Established underground readership; active SoundCloud and social channels,Active dance music magazine (Montreal / Dublin / Berlin) running frequent exclusive premieres of independent house and progressive tracks. Well-regarded in the underground scene with consistent editorial output throughout 2025. A premier here reaches a tuned-in global audience.,https://whenwedip.com/contact-us/; https://whenwedip.com/premieres/,medium,2026-06-01
Deep House Amsterdam,blog,free,web,deep house; house,email,lex@deephouseamsterdam.com,SoundCloud link only (Dropbox not accepted) | Listen to DHA AM and DHA FM channels first to understand their sound direction,400k+ YouTube subscribers; 200k+ SoundCloud followers,Leading Amsterdam-based deep house blog with 400k+ YouTube subscribers and 200k+ SoundCloud followers across DHA AM and DHA FM channels. Features exclusive premieres and label showcases. Active site with 2026 content confirmed. Ideal for deep-leaning house tracks.,https://www.deephouseamsterdam.com/contact/; https://soundcloud.com/deep-house-amsterdam,high,2026-06-01
The Groove Cartel,blog,paid,web,house; tech house; techno; deep house; progressive house,email,press@thegroovecartel.com,Track link | Artist bio | Social links | SubmitHub preferred for guaranteed 48-hour response and feedback,50k+ unique monthly visitors; Google News indexed,"Quintessential electronic music blog and network with 50k+ unique monthly visitors, indexed on Google News. Actively accepts submissions from unknown artists via SubmitHub (guaranteed feedback within 48 hours) and direct email. Strong fit for tech house specifically.",https://thegroovecartel.com/submit-music/; https://www.submithub.com/blog/the-groove-cartel,high,2026-06-01
EARMILK,blog,free,web,electronic; house; deep house; dance,portal,https://www.submithub.com/blog/earmilk,Submit via SubmitHub or Pillargram only | No direct email submissions accepted — filtered automatically,Millions of global readers across 110+ countries,Global music blog active since late 2000s reaching millions of readers in 110+ countries. Covers electronic dance music with a dedicated electronic section and premieres new tracks. Submission via SubmitHub is straightforward and open to all artists.,https://earmilk.com/submit-music/; https://earmilk.com/music/electronic/,high,2026-06-01
Decoded Magazine,magazine,free,web,house; techno; deep house; progressive house; melodic techno,email,submit@decodedmagazine.com,"Include artist bio and press release | Mark clearly as a premiere request in subject line | Address to Ian French for A&R/Editorial/Premiere pitches | Note: they do NOT accept mixes or unreleased material via submit@ — for premieres, pitch to Ian French directly","Established underground readership; active YouTube, SoundCloud, and social channels","Underground electronic music magazine with a dedicated premieres section, Mix of the Month competition open to unknowns, and a Discord community for submissions. Active with premieres confirmed through June 2026. Ian French handles A&R, editorial, and premieres.",https://www.decodedmagazine.com/contact/; https://www.decodedmagazine.com/category/premieres/,high,2026-06-01
Le Visiteur Online,blog,free,web,house; deep house; disco house; nu-disco; boogie,portal,https://www.submithub.com/blog/le-visiteur-online,"Submit via SubmitHub only — direct submissions no longer accepted | Must be house, disco house, nu-disco, or boogie in style",Thousands of unique weekly visitors; large SoundCloud following,"One of the internet's biggest house and disco authorities, run by UK DJ/producer/blogger John Hutchison. Receives thousands of unique visitors weekly. Features premieres, interviews, and mixes. SubmitHub is now the only submission route.",https://www.submithub.com/blog/le-visiteur-online; https://soundcloud.com/levisiteuronline,medium,2026-06-01
Resident Advisor (RA),magazine,paid,web,house; tech house; techno; electronic,form,feedback@ra.co,"RA account login required for the feature pitch form | For release reviews: pitch via feedback@ra.co specifying which release and why it is noteworthy | For feature pitches: use ra.co/pitch/feature with a 4 to 5 sentence explanation of the artist/topic's relevance | Long-form features, release reviews, opinion pieces, and video essays accepted",8M+ monthly unique visitors; definitive global underground electronic music authority,"The world's leading electronic music magazine and event platform. RA singles reviews, features, and premieres carry enormous credibility globally. Open to pitches for release reviews and features from anyone. The 'Singles Reviews' section and 'Breaking Through' series are the most accessible entry points for unknown artists.",https://ra.co/about/contribute; https://ra.co/pitch/feature,medium,2026-06-01
6AM Group,blog,freemium,web,house; tech house; techno,email,services@6amgroup.com,"High-quality original house or techno track | Allow at least 2 weeks for completion | Paid service: Basic Premiere $49 (SoundCloud upload only), Standard Premiere $99 (SoundCloud + site post + social), Press/Editorial Feature $39",Large social following; active Discord community; established underground audience,"US-based underground electronic media platform featuring premieres, interviews, guest mixes, and editorial coverage of house and techno. Content-promo service routes tracks to their editorial team and SoundCloud channel. Paid tier makes placement predictable with a modest budget.",https://6amgroup.com/services/content-promo; https://6amgroup.com/about,high,2026-06-01
House Music With Love (HMWL),blog,free,web,deep house; afro house; organic house; melodic house; melodic techno,form,https://www.housemusicwithlove.com/submit-a-hmwl-premiere-or-upload/,"SoundCloud or Dropbox link only | Specify release date for premiere requests | Must fit: Afro House, Organic House, Deep House, Melodic House & Techno, or Electronica",Claims 12M+ followers across channels; active Spotify playlists and SoundCloud,"Swedish house music blog, record label, and repost network active since 2008. Offers blog reviews, YouTube/SoundCloud premieres, and Spotify playlist placements to a self-described 12M+ follower audience. An accessible launch platform for deep/melodic house and organic house tracks from completely unknown artists.",https://www.housemusicwithlove.com/submit-a-hmwl-premiere-or-upload/; https://soundcloud.com/hmwl/sets/hmwl-podcasts-2025,high,2026-06-01
This Song Is Sick,blog,free,web,electronic; house; deep house; dance; indie,portal,https://www.submithub.com/blog/thissongissick-com,"Submit via SubmitHub only — no direct email accepted | Electronic, house, indie, hip-hop accepted",Global readership in 110+ countries; long-running social presence,"Established US music discovery blog active since 2010 with a dedicated premieres section and global readership in 110+ countries. Covers electronic, house, and dance music alongside indie and hip-hop. Most recent premiere confirmed May 2025. SubmitHub submission is open to all artists.",https://thissongissick.com/; https://thissongissick.com/section/premieres/,high,2026-06-01
